Model,Retriever,Exact_PRECISION,Exact_RECALL,Exact_F1,Year_PRECISION,Year_RECALL,Year_F1,Decade_PRECISION,Decade_RECALL,Decade_F1,Century_PRECISION,Century_RECALL,Century_F1
LLAMA,GTR-X,0.0101010101010101,0.0588235294117647,0.0172413793103448,0.0202020202020202,0.1176470588235294,0.0344827586206896,0.0505050505050505,0.2941176470588235,0.0862068965517241,0.1414141414141414,0.8235294117647058,0.2413793103448275
LLAMA,Inst,0.0204081632653061,0.1176470588235294,0.0347826086956521,0.0408163265306122,0.2352941176470588,0.0695652173913043,0.0816326530612244,0.4705882352941176,0.1391304347826087,0.1428571428571428,0.8235294117647058,0.2434782608695652
Mixtral,Boyer-M,0.1,0.0588235294117647,0.074074074074074,0.2,0.1176470588235294,0.1481481481481481,0.2,0.1176470588235294,0.1481481481481481,0.4,0.2352941176470588,0.2962962962962963
Mixtral,BM25,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111
Mixtral,BGE,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111
Mixtral,-,0.1111111111111111,0.0588235294117647,0.0769230769230769,0.2222222222222222,0.1176470588235294,0.1538461538461538,0.2222222222222222,0.1176470588235294,0.1538461538461538,0.4444444444444444,0.2352941176470588,0.3076923076923076
Mixtral,GTR-X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixtral,Inst,0.5,0.0588235294117647,0.1052631578947368,0.5,0.0588235294117647,0.1052631578947368,0.5,0.0588235294117647,0.1052631578947368,0.5,0.0588235294117647,0.1052631578947368
Mixtral,GTR-L,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111
Mixtral,Contr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3,Boyer-M,0.0217391304347826,0.0588235294117647,0.0317460317460317,0.0217391304347826,0.0588235294117647,0.0317460317460317,0.0434782608695652,0.1176470588235294,0.0634920634920634,0.1521739130434782,0.4117647058823529,0.2222222222222222
