QID,Label,Aliases
Q4107266,Venceslao,
Q4161942,Динора,
Q4162696,Edurne,Edurne|Edurne
Q4163401,Corentin,Corentin|Corentin
Q4173437,Eustratius,
Q4174981,Yelisey,Елисей|Elisei|Elisey
Q4203182,Irinarh,
Q4204402,Истома,
Q4206468,Ka'b,
Q4212989,Kapitolina,Капитолина
Q4259083,Kaarle,Kaarle|Kaarle
Q4273929,Madeleine,Madeleine|Madeleine
Q4296180,Миропия,
Q4317221,Neonila,
Q4341955,Pavsikaky,
Q4347255,Asta,Asta|Asta
Q4351294,Perikles,
Q4354002,Eliel,Eliel
Q4356711,Hilma,Hilma|Hilma
Q4377208,Przemysł,
Q4385098,Przemysław,Przemysław|Przemysław
Q4387093,Rada,Рада
Q4401320,Jarno,Jarno|Jarno
Q4405582,Salavat,
Q4426306,Sovetbek,
Q4441723,Stepanida,
Q4449450,Таврион,
Q4454132,Lien,Lien|Lien
Q4482635,Sacha,Sacha|Sacha
Q4526903,Shailaputri,
