QID,Label,Aliases
Q928698,Horak,
Q930493,McWherter,
Q931355,Kraus,
Q932128,McKay,
Q933931,Saftleven,
Q934262,Aisin Gioro,
Q937666,Stanić,
Q937872,Bales,
Q937899,Yevtushenko,Евтушенко|Evtushenko
Q942546,Collinge,
Q943434,Henner,
Q945123,Lynch,
Q946782,Fortin,
Q947991,Kobayashi,Kobayasi
Q948118,Chabas,
Q951135,Herczeg,
Q953099,Jović,
Q954955,Ilunga,
Q955866,Jessop,
Q955953,Glaser,
Q956019,Vallini,
Q960032,von Mises,
Q960787,Conboy,
Q961444,De Bruyn,
Q962521,Pestano,
Q963392,Kovács,Kovacs
Q964212,Johnsson,
Q966532,Szilágyi,
Q968417,Thiede,
Q968749,Bušić,
Q968985,Kormann,
Q969160,Coster,
Q969236,Schlömer,
Q969332,Hagler,
Q969610,Vitelli,Vitelli|Vitelli
Q970228,Genovese,
Q972815,Halperin,Halparin
Q973028,Talbert,
Q973239,Hill,Hill
Q976627,Jowell,
Q976645,McClung,
Q977887,Eysenck,
Q978692,Satō,Sato|Satoh|Satou
Q980636,García,Garcia|Gª
Q981073,Gadolin,
Q981390,Gingold,גינגאָלד|גינגולד|Guingold|Ghingold|Гингольд|Гинголд|Джинголд|Джингольд|Gingold
Q985509,Gong,
Q985700,Yehe Nara clan,Yehenara|Yehenara clan|Yehe-nara|Yehe Nara|Yehe-nara clan
Q985852,Fu,Foo|Phoo|傅
Q985855,Wan,Man|Mahn|만|萬
Q985858,Yu,于|Yú
Q986819,Ke,Kua|Quah|Kuah|Kwa|Ker|Ko|Kok|Kē|O|Or|柯|Kho
Q986830,Saikia,
Q987813,Ning,甯|宁|Nìng
Q987817,Qiao,Qiáo|喬|乔
Q991000,Brouwer,
Q991094,Browne,
Q991110,Browner,
Q991383,Brubeck,
Q992000,Bruchmann,
Q992107,Brucker,
Q992125,Bruckmann,
Q992308,Bruggmann,Bruggmann|Bruggmann
Q992690,Brunies,
Q993469,Xu,Chui|Tsui|Chee|Xǔ|Hsü|Hsu|Heoi|Héui|Hui|Hoi|Hooi|Koh|Khoh|Khor|Khaw|Ko|Khó͘|Khóo|Khóu|Hí|許|许|Kou|Syu|Sheu|Shiu
Q994025,Ula Nara,
Q994197,Niohuru,
Q994797,Ottmann,
Q995121,Shtylla,
Q995156,Bryar,
Q995387,Brzeska,
Q995514,Brähmig,
Q995698,Brézé,
Q996443,Posdnjakova,Позднякова
Q996909,Brühl,
Q996951,Brühlmeier,
Q997695,Buch,
Q997843,Karaev,Karayev|Karajew
Q998501,Buchholz,
Q998607,Buchli,
Q998837,Schreckenberg,
Q1000263,Lamboray,Lamboray|Lamboray
Q1001504,Defrang,
Q1002102,Spogen,
Q1002107,Daubenfeld,
Q1002298,Coleman,
Q1002342,Løke,
Q1002539,Runau,Runau|Runau
Q1002634,Corini,Corini|Corini
Q1004172,Fröhlich,
Q1004745,Bumagin,Бумагин
Q1008440,Gehlot,Gahlot
Q1009526,Bunker,
Q1010578,Буренин,Буренин
Q1010638,Burg,
Q1014886,Burger,
Q1015565,Ou,Ow|Au|Ao|Aw|歐|欧|Ōu|Āu|Eo|Êu|Eu|Ĕu
Q1016293,Burian,
Q1016572,Burkholder,
Q1016752,Burnell,
Q1016766,Burnette,
Q1017057,Burstein,
Q1017095,Burtnett,
