QID,Label,Aliases
Q19840589,President of Chongqing University,
Q19845419,South Carolina Attorney General,Attorney General of South Carolina
Q19849036,Head of the administration of the Belarusian High Technology Park,
Q19858568,Minister at the Presidency of the Government of Greece,
Q19858585,Transport Minister of Greece,
Q19860560,Minister of Justice of Greece,
Q19891837,Director of SVR,Director of the Foreign Intelligence Service
Q19893897,Permanent Representative of Palestine to the United Nations,
Q19901365,Custos Rotulorum of County Antrim,
Q19901415,Minister of Foreign Affairs,Antiguan and Barbudan Minister of Foreign Affairs
Q19901422,Minister of Foreign Affairs (Sahrawi Arab Democratic Republic),
Q19901423,Minister of Foreign Affairs,
Q19901424,Minister of Foreign Affairs,
Q19904308,Minister of Church Affairs of Greece,
Q19925091,President of the Supreme Court of Finland,Chief Judge of Finland
Q19926443,President of the International Court of Justice,
Q19942365,Minister of Culture and Sciences of Greece,
Q19945412,cheesemaker,cheese maker
Q19947188,Vice President of the Republic of Texas,
Q19967397,Schultheiss,Schultheiß
Q19974109,local leader of the NSB,
Q19978171,husbonde,lord of the manor (Sweden)|farm owner (male; Sweden)|master (Sweden)|landlord (Sweden)
Q19998221,Comes Notariarum,
Q20017615,Bishop of Huddersfield,
Q20018920,Provost of Chelmsford,
Q20019091,Provost of Leicester,Provost of Leicester Cathedral
Q20019101,Provost of Portsmouth,
Q20019145,Provost of Southwell,
Q20021262,Minister of Immigrant Absorption,
Q20021264,Minister of Construction,
Q20021291,Education Minister of Israel,
Q20021301,"Science, Technology and Space Minister",
Q20026809,Companies law,
Q20032084,Certified Penetration Testing Engineer,
Q20063106,Executive Director,
Q20066337,member of the Senate of Puerto Rico,senator of Puerto Rico|Puerto Rico State Senator|member of the State Senate of Puerto Rico
Q20068513,armored vehicle driver,tank driver
Q20079916,member of the National Council of Provinces,Member of the National Council of the Provinces
Q20080419,"Minister of Health, Welfare and Care of Greece",
Q20081427,senator of Bolivia,Bolivian senator|member of the Senate of Bolivia
Q20087535,president of Dominica,
Q20088743,Bishop in Cyprus and the Gulf,
Q20088923,laryngologist,
Q20089350,Mayor of Canterbury,
Q20089909,manager of VfL Wolfsburg,
Q20110697,Member of the People's Assembly of Abkhazia,
Q20116202,Mission Specialist 1,MS1
Q20128285,Minister of the Aegean,
Q20128304,Minister of Tourism of Greece,
Q20161976,"Bishop of Kilmore, Elphin and Ardagh","Anglican Bishop of Kilmore, Elphin and Ardagh|Bishop of Kilmore|Anglican Bishop of Kilmore"
Q20163680,Mission Specialist 3,MS3
Q20379037,Publishing editor,
Q20423494,Deputy Prime Minister of Iraq,
Q20462450,Chief of Defence Forces (Malaysia),Panglima Angkatan Tentera
Q20473216,mülâzım-ı evvel,first lieutenant
